"_id","count","duplicated","ip","netaddr","port","tag"
"624152a8f2360000a8006e98","1","0","0000:0000:0000:0000:0000:ffff:9387:41b4","[{""time"":1648029883,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:9387:41b4"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:9387:41b4"",""from_time"":1648029883462}]"
"624152a8f2360000a8006e99","1","0","0000:0000:0000:0000:0000:ffff:d505:243a","[{""time"":1648030505,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:d505:243a"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:d505:243a"",""from_time"":1648030504205}]"
"624152a8f2360000a8006e9a","1","0","0000:0000:0000:0000:0000:ffff:2ee5:eebb","[{""time"":1648030793,""services"":1101,""ip"":""0000:0000:0000:0000:0000:ffff:2ee5:eebb"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:2ee5:eebb"",""from_time"":1648030793182}]"
"624152a8f2360000a8006e9b","1","0","0000:0000:0000:0000:0000:ffff:1290:3656","[{""time"":1648033865,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:1290:3656"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:1290:3656"",""from_time"":1648033865369}]"
"624152a8f2360000a8006e9c","1","0","0000:0000:0000:0000:0000:ffff:43b6:4f5f","[{""time"":1648041867,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:43b6:4f5f"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:43b6:4f5f"",""from_time"":1648041877124}]"
"624152a8f2360000a8006e9e","2","1","0000:0000:0000:0000:0000:ffff:4991:2ca3","[{""time"":1648031020,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:4991:2ca3"",""port"":8333},{""time"":1648041231,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:4991:2ca3"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:4991:2ca3"",""from_time"":1648031023570},{""from_ip"":""0000:0000:0000:0000:0000:ffff:4991:2ca3"",""from_time"":1648041234530}]"
"624152a8f2360000a8006e9f","1","0","0000:0000:0000:0000:0000:ffff:8eb1:9f7d","[{""time"":1648043775,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:8eb1:9f7d"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:8eb1:9f7d"",""from_time"":1648043774489}]"
"624152a8f2360000a8006ea1","1","0","0000:0000:0000:0000:0000:ffff:9df5:94a6","[{""time"":1648031674,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:9df5:94a6"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:9df5:94a6"",""from_time"":1648031674715}]"
"624152a8f2360000a8006ea3","2","1","0000:0000:0000:0000:0000:ffff:2ea0:caa2","[{""time"":1648034063,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:2ea0:caa2"",""port"":8333},{""time"":1648038727,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:2ea0:caa2"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:2ea0:caa2"",""from_time"":1648034065940},{""from_ip"":""0000:0000:0000:0000:0000:ffff:2ea0:caa2"",""from_time"":1648038730300}]"
"624152a8f2360000a8006ea4","1","0","0000:0000:0000:0000:0000:ffff:4fa5:97b6","[{""time"":1648037471,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:4fa5:97b6"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:4fa5:97b6"",""from_time"":1648037481390}]"
"624152a8f2360000a8006ea6","1","0","0000:0000:0000:0000:0000:ffff:be02:9457","[{""time"":1648029747,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:be02:9457"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:be02:9457"",""from_time"":1648029746865}]"
"624152a8f2360000a8006eaa","1","0","0000:0000:0000:0000:0000:ffff:43de:8397","[{""time"":1648031547,""services"":1032,""ip"":""0000:0000:0000:0000:0000:ffff:43de:8397"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:43de:8397"",""from_time"":1648031547627}]"
"624152a8f2360000a8006eab","1","0","0000:0000:0000:0000:0000:ffff:d5c2:a513","[{""time"":1648041262,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:d5c2:a513"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:d5c2:a513"",""from_time"":1648041270408}]"
"624152a8f2360000a8006eac","1","0","0000:0000:0000:0000:0000:ffff:284e:1395","[{""time"":1648029206,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:284e:1395"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:284e:1395"",""from_time"":1648029206302}]"
"624152a8f2360000a8006ead","1","0","0000:0000:0000:0000:0000:ffff:94fb:136b","[{""time"":1648041820,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:94fb:136b"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:94fb:136b"",""from_time"":1648041819662}]"
"624152a8f2360000a8006eaf","1","0","0000:0000:0000:0000:0000:ffff:5afa:0901","[{""time"":1648035091,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:5afa:0901"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:5afa:0901"",""from_time"":1648035092570}]"
"624152a8f2360000a8006eb0","2","1","0000:0000:0000:0000:0000:ffff:3326:29cd","[{""time"":1648033328,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:3326:29cd"",""port"":8333},{""time"":1648035747,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:3326:29cd"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:3326:29cd"",""from_time"":1648033350042},{""from_ip"":""0000:0000:0000:0000:0000:ffff:3326:29cd"",""from_time"":1648035765734}]"
"624152a8f2360000a8006eb2","1","0","0000:0000:0000:0000:0000:ffff:2e04:fa42","[{""time"":1648032653,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:2e04:fa42"",""port"":9001}]","9001","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:2e04:fa42"",""from_time"":1648032651312}]"
"624152a8f2360000a8006eb3","1","0","0000:0000:0000:0000:0000:ffff:294f:4692","[{""time"":1648038364,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:294f:4692"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:294f:4692"",""from_time"":1648038362408}]"
"624152a8f2360000a8006eb6","1","0","0000:0000:0000:0000:0000:ffff:a763:34b2","[{""time"":1648038485,""services"":1033,""ip"":""0000:0000:0000:0000:0000:ffff:a763:34b2"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:a763:34b2"",""from_time"":1648038500717}]"
"624152a8f2360000a8006eb7","1","0","0000:0000:0000:0000:0000:ffff:2ff1:dceb","[{""time"":1648038822,""services"":1037,""ip"":""0000:0000:0000:0000:0000:ffff:2ff1:dceb"",""port"":8333}]","8333","[{""from_ip"":""0000:0000:0000:0000:0000:ffff:2ff1:dceb"",""from_time"":1648038822413}]"
