ip,port,lon,lat,organization
221.219.97.105,2001,116.397459,39.938884,China Unicom Beijing Province Network
221.219.102.228,2001,116.397459,39.938884,China Unicom Beijing Province Network
63.32.65.205,5001,-6.26031,53.349805,"Amazon.com, Inc."
54.76.224.236,5001,-6.26031,53.349805,"Amazon.com, Inc."
34.248.223.238,5001,-6.26031,53.349805,"Amazon.com, Inc."
34.252.91.3,5001,-6.26031,53.349805,"Amazon.com, Inc."
54.195.171.69,5001,-6.26031,53.349805,"Amazon.com, Inc."
82.193.103.110,6333,30.5234,50.4501,"PJSC ""Industrial Media Network"""
144.91.66.137,6455,11.07349,49.454342,Contabo GmbH
173.212.243.27,7662,11.07349,49.454342,Contabo GmbH
54.36.62.114,8253,2.142824,51.002837,OVH SAS
213.239.232.113,8332,11.07349,49.454342,Hetzner Online GmbH
163.172.142.149,8332,2.352222,48.856614,ONLINE S.A.S.
162.55.101.8,8332,11.07349,49.454342,Hetzner Online GmbH
162.55.7.43,8332,12.364975,50.475005,Hetzner Online GmbH
188.32.14.31,8334,37.605061,55.741638,PJSC Rostelecom
88.99.149.100,8335,12.364975,50.475005,Hetzner Online GmbH
94.130.35.227,8335,12.364975,50.475005,Hetzner Online GmbH
13.82.198.161,8335,-77.429129,39.006699,Microsoft Corporation
73.200.139.162,8335,-77.61388,38.795671,"Comcast Cable Communications, LLC"
66.151.242.154,8335,-87.629798,41.878114,Dedicated.com
31.25.241.224,8335,60.605703,56.838926,data-centr ekaterinburg OOO
94.19.132.255,8335,30.335099,59.93428,SkyNet Ltd.
60.251.129.61,8336,121.565427,25.032964,"Chunghwa Telecom Co., Ltd."
5.186.60.13,8336,9.51695,56.276089,FIBIA P/S
51.255.87.121,8339,2.142824,51.002837,OVH SAS
148.251.1.20,8343,12.364975,50.475005,Hetzner Online GmbH
193.42.110.30,8343,4.89319,52.373119,3W Infra B.V.
20.184.15.116,8433,103.819836,1.352083,Microsoft Corporation
46.166.128.226,8444,4.89319,52.373119,NForce Entertainment B.V.
142.44.142.126,8444,-73.877903,45.315081,OVH SAS
159.250.153.179,8444,-81.515754,27.664827,"Atlantic Broadband Finance, LLC"
85.10.201.29,8446,11.07349,49.454342,Hetzner Online GmbH
116.203.200.229,8446,11.07349,49.454342,Hetzner Online GmbH
212.90.58.56,8512,30.5234,50.4501,Scientific-Production Enterprise Information Technologies Ltd
172.105.179.145,8555,151.209295,-33.868819,"Linode, LLC"
172.105.180.126,8555,151.209295,-33.868819,"Linode, LLC"
65.21.142.118,8555,24.932581,60.171162,Hetzner Online GmbH
24.55.154.69,8555,-75.817976,40.453983,PenTeleData Inc.
51.255.64.196,8800,3.18125,50.688438,OVH SAS
107.190.47.97,8833,-73.625122,45.536491,"TekSavvy Solutions, Inc."
190.2.138.4,9000,4.199261,51.995911,WorldStream B.V.
49.12.126.6,9001,12.364975,50.475005,Hetzner Online GmbH
49.12.163.214,9001,11.07349,49.454342,Hetzner Online GmbH
94.130.64.182,9001,12.364975,50.475005,Hetzner Online GmbH
78.46.196.248,9001,12.364975,50.475005,Hetzner Online GmbH
212.99.226.35,9020,12.549326,55.675181,Sagitta ApS
35.163.48.30,9091,-122.658719,45.512231,"Amazon.com, Inc."
49.12.163.214,9199,11.07349,49.454342,Hetzner Online GmbH
94.130.64.182,9199,12.364975,50.475005,Hetzner Online GmbH
75.119.132.199,9333,6.77604,51.21563,Contabo GmbH
37.59.53.126,9333,3.18125,50.688438,OVH SAS
46.165.221.209,9333,8.68341,50.11208,Leaseweb Deutschland GmbH
81.21.86.157,9333,47.687069,40.15134,Ultel LLC
136.144.215.219,10100,4.477733,51.92442,Transip B.V.
75.119.132.199,10333,6.77604,51.21563,Contabo GmbH
92.255.170.159,11080,65.572,57.174086,"JSC ""ER-Telecom Holding"""
85.15.179.171,11080,66.948278,56.963439,PJSC Rostelecom
91.121.221.92,11080,3.18125,50.688438,OVH SAS
91.206.16.214,11080,65.572,57.174086,Delta Telesystems Ltd.
79.98.159.7,11333,15.32814,50.605157,"NETAIR, s.r.o."
95.216.242.53,12853,24.932581,60.171162,Hetzner Online GmbH
167.114.156.121,14333,-73.877903,45.315081,OVH SAS
139.162.22.75,18222,103.819836,1.352083,"Linode, LLC"
47.100.162.210,18332,121.476753,31.224349,"Hangzhou Alibaba Advertising Co.,Ltd."
207.154.230.25,18333,8.68341,50.11208,"DigitalOcean, LLC"
138.201.78.28,18333,12.364975,50.475005,Hetzner Online GmbH
135.181.137.135,18333,24.932581,60.171162,Hetzner Online GmbH
35.175.179.123,18333,-77.487442,39.043757,"Amazon.com, Inc."
95.216.15.164,18333,24.932581,60.171162,Hetzner Online GmbH
46.30.189.41,19911,8.68341,50.11208,diva-e Datacenters GmbH
3.0.108.49,20008,103.819836,1.352083,"Amazon.com, Inc."
87.120.8.5,20008,23.321867,42.697708,Neterra Ltd.
174.138.58.171,20008,-74.005941,40.712784,"DigitalOcean, LLC"
134.209.234.186,20008,8.68341,50.11208,"DigitalOcean, LLC"
45.63.10.52,20008,-74.464286,40.554887,"The Constant Company, LLC"
107.23.66.252,20008,-77.487442,39.043757,"Amazon.com, Inc."
47.96.119.168,20018,120.165024,30.252501,"Hangzhou Alibaba Advertising Co.,Ltd."
185.15.92.18,20993,8.68341,50.11208,AirAccess GmbH trading as 'Lightup Network Solutions GmbH & Co. KG
158.69.227.12,28633,-73.877903,45.315081,OVH SAS
158.69.227.12,28643,-73.877903,45.315081,OVH SAS
51.138.4.135,30001,4.89319,52.373119,Microsoft Corporation
51.136.85.64,30001,4.89319,52.373119,Microsoft Corporation
51.136.85.64,30002,4.89319,52.373119,Microsoft Corporation
51.138.4.135,30002,4.89319,52.373119,Microsoft Corporation
178.63.69.234,30200,12.364975,50.475005,Hetzner Online GmbH
138.68.8.225,30200,-122.419416,37.77493,"DigitalOcean, LLC"
144.76.71.116,33354,12.364975,50.475005,Hetzner Online GmbH
80.61.232.204,39388,5.32986,52.1082,KPN B.V.
52.14.104.124,48333,-83.114077,40.099229,"Amazon.com, Inc."
185.254.75.50,54895,6.77604,51.21563,xTom GmbH
51.38.57.53,55859,2.142824,51.002837,OVH SAS
45.32.109.115,56792,103.819836,1.352083,"The Constant Company, LLC"
109.236.81.138,58333,4.199261,51.995911,WorldStream B.V.
80.88.172.227,64264,9.181873,45.458626,MYNET S.R.L.
