ip,is_http,is_https,is_ssh,is_smtp,is_imap,is_ftp,is_pop,is_other,bitcoin_port,bitcoin_service_num,bitcoin_protocol_version,bitcoin_user_agent,longitude,latitude,organization
119.224.17.122,1,1,0,0,0,0,0,0,8333,1033,70016,/Satoshi:0.21.0/,175.189404,-37.455799,VocusGroup
114.23.246.137,0,1,0,0,0,0,0,0,8333,1033,70016,/Satoshi:0.21.1(JUNE_27_2018_and_BTC_is_USD6056_where_to_from_here?)/,174.652609,-36.875108,Voyager Internet Ltd.
210.55.57.179,1,1,0,1,0,1,0,1,8333,1033,70016,/Satoshi:23.0.0/,170.370987,-43.586781,Spark New Zealand Trading Ltd.
101.98.167.205,0,0,0,0,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,170.370987,-43.586781,VocusGroup
117.20.64.157,1,1,0,0,0,0,0,1,8333,1033,70016,/Satoshi:0.21.0/,153.025123,-27.469771,Aussie Broadband
103.16.128.63,0,0,1,0,0,0,0,0,8333,1032,70017,/Satoshi:23.99.0/,153.025123,-27.469771,Mammoth Media Pty Ltd
49.176.217.40,0,1,0,0,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,153.025123,-27.469771,Microplex PTY LTD
172.105.178.137,0,1,1,0,0,0,0,0,8333,1032,70015,/Satoshi:0.20.0/,151.209295,-33.868819,Linode
139.180.180.11,1,0,1,0,0,0,0,0,8333,1032,70016,/Satoshi:0.21.0/,151.209295,-33.868819,AS-CHOOPA
47.74.84.115,1,1,0,0,0,1,0,0,8333,1033,70016,/Satoshi:22.0.0/,151.209295,-33.868819,Alibaba US Technology Co.
149.28.160.192,1,0,1,1,0,0,0,1,8333,1033,70015,/Satoshi:0.20.1/,151.209295,-33.868819,AS-CHOOPA
54.253.200.105,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,151.209295,-33.868819,AMAZON-02
13.55.244.216,0,0,0,0,0,0,0,0,8333,1037,70015,/Satoshi:0.17.0.1/,151.209295,-33.868819,AMAZON-02
49.176.168.68,0,0,1,0,0,0,0,1,8333,1033,70016,/Satoshi:0.21.1/,151.209295,-33.868819,Microplex PTY LTD
172.105.179.145,1,0,1,0,0,0,0,0,8555,1033,70015,/Satoshi:1.0.0/,151.209295,-33.868819,Linode
45.76.125.1,0,1,1,0,0,0,0,1,8333,1036,70015,/Satoshi:0.17.1/,151.209295,-33.868819,AS-CHOOPA
172.105.180.126,0,0,1,0,0,0,0,1,8555,1033,70015,/Satoshi:1.0.0/,151.209295,-33.868819,Linode
43.225.62.107,0,1,0,1,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,149.130009,-35.280937,The Signal Co. Wireless
180.150.46.187,1,1,0,1,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,147.318974,-32.830612,Aussie Broadband
159.196.1.31,1,0,1,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,144.963057,-37.813627,Aussie Broadband
119.17.139.202,0,0,0,0,0,0,0,1,8333,1033,70016,/Satoshi:0.21.1/,144.963057,-37.813627,Aussie Broadband
203.132.94.196,1,1,0,0,0,0,0,1,8333,1037,70016,/Satoshi:22.0.0/,144.963057,-37.813627,Superloop
180.150.58.14,0,0,0,0,0,0,0,1,8333,1033,70016,/Satoshi:0.21.1/,144.963057,-37.813627,Aussie Broadband
133.125.50.180,1,0,0,0,0,0,0,1,8333,1033,70016,/Satoshi:22.0.0/,141.422772,43.435881,SAKURA Internet Inc.
124.35.95.140,0,0,0,0,0,0,0,0,8333,1033,70016,/Satoshi:22.0.0/,140.123306,35.605057,ARTERIA Networks Corporation
